TYPE,AGE,RACE,FAMSIZE,HISTORIC,START_YEAR,END_YEAR,REHABTOTAL,FY_COMPLT,PARCEL_ID
SF,0,0 - NON-PROFIT,,0,06/13,08/14,150150.515625,FY15,566
RENTAL,58,13 - ASIAN,0,1,05/08,09/08,675,FY09,443
RENTAL,58,13 - ASIAN,0,1,05/08,09/08,675,FY09,442
SF,35,11 - WHITE,5,0,05/13,09/13,0,FY14,1033
SF,36,12 - BLACK/AFRICAN AMER,4,0,08/13,08/13,0,FY14,142
SF,27,11 - WHITE,1,0,07/13,08/13,0,FY14,303
SF,41,11 - WHITE,2,0,12/08,6/09,22521,FY09,51
SF,58,11 - WHITE,3,0,05/08,06/09,22756.5,FY09,624
SF,64,11 - WHITE,2,1,04/08,06/09,24045,FY09,452
RENTAL,49,11 - WHITE,0,0,04/09,10/09,375,FY10,302
RENTAL,66,11 - WHITE,0,1,06/09,12/09,375,FY10,232
SF,60,11 - WHITE,1,0,06/09,07/09,22464.83984375,FY10,1035
SF,50,12 - BLACK/AFRICAN AMER,1,0,01/09,07/09,25099,FY10,154
RENTAL,29,11 - WHITE,,1,10/08,07/09,17200,FY10,228
SF,34,11 - WHITE,1,0,07/09,08/09,0,FY10,199
SF,60,11 - WHITE,3,0,09/09,09/09,0,FY10,821
SF,37,11 - WHITE,3,0,04/08,06/08,25548,FY08,721
SF,34,4 HISPANIC,3,0,9/98,11/98,0,FY99,987
SF,39,20 - OTHER MULTI-RACIAL,1,0,03/14,06/14,4494,FY14,941
SF,26,12 - BLACK/AFRICAN AMER,1,0,10/09,11/09,0,FY10,176
RENTAL,61,11 - WHITE,0,1,05/09,11/09,6960,FY10,206
SF,40,11 - WHITE,1,0,11/09,12/09,0,FY10,1051
SF,43,11 - WHITE,1,0,07/09,11/09,5880,FY10,789
RENTAL,39,20 - OTHER MULTI-RACIAL,0,0,01/08,03/08,6360,FY08,286
RENTAL,46,11 - WHITE,0,1,02/08,05/08,17345,FY08,494
SF,59,14 - AMER INDIAN,1,0,06/13,07/13,7310,FY14,607
RENTAL,39,11 - WHITE,0,1,05/08,11/08,11466,FY09,582
RENTAL,53,11 - WHITE,,0,07/11,06/12,26679,FY12,293
RENTAL,62,17 - ASIAN & WHITE,,1,03/11,06/12,191703,FY12,197
RENTAL,40,11 - WHITE,,0,01/08,04/08,8000,FY08,94
RENTAL,24,11 - WHITE,,0,08/12,11/12,355,FY13,372
RENTAL,51,11 - WHITE,,0,05/12,11/12,3795,FY13,752
RENTAL,52,11 - WHITE,,0,05/12,11/12,20850,FY13,609
RENTAL,32,11 - WHITE,,1,04/12,11/12,27261,FY13,214
RENTAL,,11 - WHITE,,0,04/10,06/10,8375,FY10,505
SF,38,12 - BLACK/AFRICAN AMER,4,0,04/10,04/10,0,FY10,11
SF,30,11 - WHITE,5,0,12/08,02/09,0,FY09,995
SF,47,11 - WHITE,3,0,06/09,10/09,13584,FY11,749
SF,59,11 - WHITE,1,0,11/09,06/10,26067,FY10,400
RENTAL,54,11 - WHITE,,0,01/13,09/13,11820,FY14,295
RENTAL,64,11 - WHITE,,0,04/10,07/10,1315,FY11,663
RENTAL,70,11 - WHITE,,0,10/12,09/13,25371,FY14,281
SF,,12 - BLACK/AFRICAN AMER,3,0,04/10,04/10,0,FY10,35
SF,,0 - NON-PROFIT,0,0,12/13,10/14,127767.7578125,FY15,875
SF,36,11 - WHITE,5,0,07/09,10/09,375,FY10,171
RENTAL,49,12 - BLACK/AFRICAN AMER,0,1,05/09,10/09,9620,FY10,165
SF,33,11 - WHITE,4,0,05/09,10/09,24880,FY10,54
RENTAL,53,12 - BLACK/AFRICAN AMER,,1,05/12,11/12,29115,FY13,227
SF,26,12 - BLACK/AFRICAN AMER,3,0,10/12,11/12,0,FY13,900
RENTAL,52,11 - WHITE,,0,08/12,11/12,8145,FY13,415
SF,20,20 - OTHER MULTI-RACIAL,2,0,09/12,11/12,0,FY13,677
SF,22,11 - WHITE,4,0,09/12,11/12,0,FY13,736
SF,55,12 - BLACK/AFRICAN AMER,2,0,12/12,12/12,0,FY13,1020
RENTAL,56,11 - WHITE,,0,05/12,12/12,5695,FY13,947
SF,56,12 - BLACK/AFRICAN AMER,1,0,05/13,10/13,3224,FY14,818
F,31,11 - WHITE,6,0,06/08,08/08,27180,FY09,739
SF,,0 - NON-PROFIT,,0,02/12,12/12,55000,FY14,570
RENTAL,52,12 - BLACK/AFRICAN AMER,,0,05/12,06/12,355,FY12,211
RENTAL,44,11 - WHITE,,0,05/12,09/12,7875,FY13,144
SF,31,11 - WHITE,4,0,03/10,03/10,0,FY10,311
SF,32,11 - WHITE,2,0,04/10,04/10,0,FY10,860
RENTAL,50,11 - WHITE,,0,04/09,04/10,1975,FY10,302
SF,54,11 - WHITE,1,0,02/09,03/10,24180,FY10,863
SF,,20 - OTHER MULTI-RACIAL,3,0,12/08,08/09,93050.0078125,FY10,249
